,Restaurant_Name,Restaurant_Category,Rating,price_for_2
200,Changezi Chicken (Daryaganj),"Indian, Mughlai",,₹400 FOR TWO
201,Mehtas (Old Delhi Original),"Street Food, Desserts, Sweets",,₹150 FOR TWO
202,Zaika (Daryaganj),"North Indian, Mughlai, Chinese",,₹600 FOR TWO
203,Nayaab Kitchen Halaal,"Mughlai, Fast Food",,₹300 FOR TWO
204,Suvidha Vegetarian (Old Delhi Original),Indian,,₹300 FOR TWO
205,The Yellow Bowl,"Chinese, Snacks",,₹300 FOR TWO
206,Southern Masala,South Indian,,₹600 FOR TWO
207,Shudh Annapurna,"North Indian, South Indian, Chinese",,₹350 FOR TWO
208,Arya Bhavan,South Indian,,₹400 FOR TWO
209,Al Jawahar Restaurant (Jama Masjid),"Mughlai, North Indian",,₹400 FOR TWO
210,Wrap & Roll,"Chinese, Fast Food",,₹400 FOR TWO
211,The Burger Club,"Fast Food, American, Beverages, Desserts",,₹250 FOR TWO
212,Cafexpress,"Bakery, Beverages, Ice Cream",,₹200 FOR TWO
213,Flavour Of Southvala Pvt Ltd,"South Indian, Chinese",,₹300 FOR TWO
214,Shawarma Kings,"Lebanese, Snacks",,₹200 FOR TWO
215,Amma Mess,South Indian,,₹300 FOR TWO
216,Nandlal Ka Dhaba,"North Indian, Mughlai",,₹250 FOR TWO
217,Karim's,"Mughlai, North Indian",,₹650 FOR TWO
218,chatpata chandni chowk,"Chinese, Tandoor, Beverages",,₹250 FOR TWO
219,SUGANDH,Indian,,₹500 FOR TWO
220,Kulcha Republic,Indian,,₹140 FOR TWO
221,New Tera Hotel,North Indian,,₹150 FOR TWO
222,Changezi Chicken,"Mughlai, North Indian",,₹500 FOR TWO
223,Kings Kulfi,"Ice Cream, Desserts",,₹100 FOR TWO
